LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,NAME_0
-5.3507,36.1384,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",74.3502125,297.40085,RES,ALL,RURAL,90.0,1312.5,35130475.40625,10539142.621875,17565237.703125,7026095.081250001,668.1589670157754,155.08838231093267,631.4125623862923,337.43297336333984,374.6446393535216,Gibraltar
-5.3507,36.1384,CR/LFINF+CDL/HBET:3-5,"Concrete frame with infill panels, mid rise, low/moderate code",378.2257375,1512.90295,RES,ALL,URBAN,90.0,1706.25,232318351.1961,69695505.35882999,116159175.59805,46463670.23922,7011.175987296694,1627.3850919393976,6625.5858471113315,3540.7770859285893,3931.249341659773,Gibraltar
-5.3507,36.1384,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",240.00766666666667,360.0115,RES,ALL,RURAL,120.0,1312.5,56701811.25,17010543.375,28350905.625,11340362.25,808.8240127033071,187.73856806060274,764.3415228886696,408.4714940714114,453.51719500689455,Gibraltar
-5.3507,36.1384,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",657.7838666666667,986.6758,RES,ALL,URBAN,90.0,1706.25,151511962.4964,45453588.74892,75755981.2482,30302392.499280002,4572.506078671757,1061.3381034387376,4321.034248116086,2309.202447344732,2563.858266299852,Gibraltar
-5.3507,36.1384,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",375.6642,563.4963,RES,ALL,RURAL,120.0,1312.5,88750667.25,26625200.175,44375333.625,17750133.45,1265.985411187785,293.85167174703037,1196.3606445213961,639.3466863726441,709.8530008803568,Gibraltar
-5.3507,36.1384,MR/LWAL+CDL/H:2,"Confined or reinforced masonry, low rise",1359.4200666666668,2039.1301,RES,ALL,URBAN,90.0,1706.25,313124739.8958,93937421.96874,156562369.9479,62624947.97916,9449.84589592163,2193.4320804400572,8930.137446106575,4772.351724512446,5298.640417019693,Gibraltar
-5.3507,36.1384,S/LFM+CDL/H:1,"Steel, low rise",31.3054,31.3054,RES,ALL,RURAL,220.0,1250.0,8608985.0,2582695.5,4304492.5,1721797.0,70.33252284376584,16.325092874835022,66.46448025118868,35.51926035403578,39.43627782668649,Gibraltar
-5.3507,36.1384,S/LFM+CDL/H:1,"Steel, low rise",328.8919,328.8919,RES,ALL,URBAN,120.0,1625.0,64133920.50000001,19240176.150000002,32066960.250000004,12826784.100000001,1524.1686928905856,353.77936781291254,1440.3447493720284,769.7341491149107,854.6194220999505,Gibraltar
-5.3507,36.1384,S/LWAL+CDL/H:1,"Steel, low rise",65.7784,131.5568,RES,ALL,URBAN,90.0,1625.0,19240182.0,5772054.6,9620091.0,3848036.4000000004,609.6674771562342,141.51174712516502,576.1378997488114,307.89365964596425,341.84776883998023,Gibraltar
-5.3507,36.1384,W/LFM+CDL/H:1,"Wood, low rise",15.6527,15.6527,RES,ALL,RURAL,220.0,1187.5,4089267.875,1226780.3625,2044633.9375,817853.5750000001,35.16626142188292,8.162546437417511,33.23224012559434,17.75963017701789,19.718138913343246,Gibraltar
-5.3507,36.1384,W/LFM+CDL/H:1,"Wood, low rise",65.7784,65.7784,RES,ALL,URBAN,120.0,1543.75,12185843.2704,3655752.98112,6092921.6352,2437168.6540800002,304.8337385781171,70.75587356258251,288.0689498744057,153.94682982298212,170.92388441999012,Gibraltar
-5.3507,36.1384,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",74.3502125,297.40085,RES,ALL,RURAL,90.0,1312.5,35130475.40625,10539142.621875,17565237.703125,7026095.081250001,668.1589670157754,155.08838231093267,631.4125623862923,337.43297336333984,374.6446393535216,Gibraltar
-5.3507,36.1384,CR/LFINF+CDN/HBET:3-5,"Concrete frame with infill panels, mid rise, pre code",378.2257375,1512.90295,RES,ALL,URBAN,90.0,1706.25,232318351.1961,69695505.35882999,116159175.59805,46463670.23922,7011.175987296694,1627.3850919393976,6625.5858471113315,3540.7770859285893,3931.249341659773,Gibraltar
